table : customers
columns:,customer_name:char,address_full:varchar,created_at:int,updated_at:int
Quinten Coldwater,534 Breakbills Dr. Breakbills NY 23465,getdate(),getdate()
Alice Quinn,978 Ravenna Rd. Mentor OH 44077,getdate(),getdate()
Elliot Waugh,243 Cottage D. Breakbills NY 23465,getdate(),getdate()
Julia Wicker,9023 Hedge Dr. Albany NY 23987,getdate(),getdate();

table : items
columns:,item_name:varchar,item_type:char,created_at:int,updated_at:int
specialized roubaix,assembled cycle,getdate(),getdate()
garmin computer,accessory,getdate(),getdate()
carbon fork,accessory,getdate(),getdate()
water bottle cage,accessory,getdate(),getdate();
